incident_id,year,country,total_killed,total_wounded,total_kidnapped,total_affected,means_of_attack,latitude,longitude,means_of_attack_condensed,risk,risk_allyears
127,2000,Guinea,1,0,1,2,Kidnapping,10.7226226,-10.7083587,Kidnapping,4,19
128,2000,Indonesia,0,1,0,1,Bodily assault,3.449,97.1275,Bodily assault,2,67
126,2000,Indonesia,3,0,0,3,Unknown,-6.21195,106.845056,Unknown,9,67
129,2000,Sudan,1,0,0,1,Unknown,14.5844444,29.4917691,Unknown,3,981
130,2000,Guinea,0,0,1,1,Kidnapping,10.7226226,-10.7083587,Kidnapping,1,19
131,2000,Sudan,1,0,0,1,Aerial bombardment,14.5844444,29.4917691,Explosives,3,981
133,2000,Burundi,1,0,0,1,Unknown,-3.3634357,29.8870575,Unknown,3,99
135,2000,Guinea,1,0,0,1,Unknown,10.7226226,-10.7083587,Unknown,3,19
134,2000,Indonesia,3,0,0,3,Unknown,-6.21195,106.845056,Unknown,9,67
132,2000,Sudan,2,0,0,2,Unknown,14.5844444,29.4917691,Unknown,6,981
137,2001,Chechnya,0,1,1,2,Kidnapping,43.3976147,45.6985005,Kidnapping,3,77
139,2001,Somalia,0,0,10,10,Kidnapping,2.033333,45.35,Kidnapping,10,1112
140,2001,Sudan,0,0,4,4,Kidnapping,14.5844444,29.4917691,Kidnapping,4,981
138,2001,DR Congo,1,0,0,1,Shooting,-5.78156,12.63389,Shooting,3,583
143,2001,Kosovo,1,1,0,2,Aerial bombardment,42.56231965,20.9060579,Explosives,5,26
141,2001,Burundi,0,4,0,4,Unknown,-3.3634357,29.8870575,Unknown,8,99
144,2001,Chechnya,1,1,0,2,Shooting,64.6863136,97.7453061,Shooting,5,77
142,2001,DR Congo,6,0,0,6,Unknown,1.5625,30.2484167,Unknown,18,583
146,2001,Sudan,1,0,0,1,Shelling,14.5844444,29.4917691,Explosives,3,981
147,2001,Cameroon,1,0,0,1,Bodily assault,3.8689867,11.5213344,Bodily assault,3,73
145,2001,Madagascar,1,0,0,1,Shooting,-18.9249604,46.4416422,Shooting,3,14
148,2001,Burundi,0,0,6,6,Kidnapping,-3.3634357,29.8870575,Kidnapping,6,99
149,2001,Burundi,1,0,3,4,Kidnap-killing,-3.3634357,29.8870575,Kidnapping,6,99
150,2001,Tajikistan,0,0,15,15,Kidnapping,38.6281733,70.8156541,Kidnapping,15,28
153,2001,Fiji,1,0,0,1,Unknown,-18.1239696,179.0122737,Unknown,3,11
154,2001,Angola,0,1,0,1,Shooting,-11.8775768,17.5691241,Shooting,2,143
151,2001,Angola,1,0,0,1,Unknown,-12.7765392,15.7320468,Unknown,3,143
152,2001,Central African Republic,1,0,0,1,Unknown,4.361697,18.555978,Unknown,3,402
155,2001,Somalia,6,2,0,8,Shooting,2.03711,45.34375,Shooting,22,1112
156,2001,DR Congo,0,0,3,3,Kidnapping,-3.16667,28.25,Kidnapping,3,583
157,2001,Sudan,1,0,0,1,Unknown,14.5844444,29.4917691,Unknown,3,981
158,2001,Somalia,0,0,1,1,Kidnapping,8.3676771,49.083416,Kidnapping,1,1112
159,2001,Angola,0,1,0,1,Landmine ,-11.8775768,17.5691241,Explosives,2,143
160,2001,Indonesia,1,0,0,1,Shooting,5.2022128,96.7023788,Shooting,3,67
161,2001,Burundi,1,0,0,1,Unknown,-3.3634357,29.8870575,Unknown,3,99
162,2001,Afghanistan,1,4,0,5,Shooting,33.93911,67.709953,Shooting,11,2534
163,2001,Afghanistan,1,0,0,1,Unknown,33.93911,67.709953,Unknown,3,2534
164,2001,Pakistan,0,1,0,1,Bodily assault,34.45993,72.50237,Bodily assault,2,542
210,2002,Chechnya,0,1,0,1,Aerial bombardment,64.6863136,97.7453061,Explosives,2,77
211,2002,Chechnya,1,0,0,1,Shooting,64.6863136,97.7453061,Shooting,3,77
212,2002,Burundi,1,0,0,1,Shooting,-3.4284953,29.9249718,Shooting,3,99
166,2002,Afghanistan,0,2,0,2,Bodily assault,36.26468,68.01551,Bodily assault,4,2534
167,2002,DR Congo,0,0,3,3,Kidnapping,-2.91667,25.91667,Kidnapping,3,583
168,2002,Somalia,0,0,1,1,Kidnapping,8.3676771,49.083416,Kidnapping,1,1112
169,2002,Burundi,0,1,0,1,Unknown,-3.3634357,29.8870575,Unknown,2,99
170,2002,Afghanistan,0,1,0,1,Shooting,36.7,67.116667,Shooting,2,2534
172,2002,Liberia,1,0,0,1,Unknown,5.7499721,-9.3658524,Unknown,3,27
173,2002,Sudan,1,0,0,1,Aerial bombardment,14.5844444,29.4917691,Explosives,3,981
171,2002,Somalia,1,0,0,1,Shooting,1.79767,44.90755,Shooting,3,1112
175,2002,Occupied Palestinian Territories,1,4,0,5,Unknown,31.649741,35.162072,Unknown,11,161
174,2002,Occupied Palestinian Territories,1,0,0,1,Shooting,32.31037,35.02863,Shooting,3,161
176,2002,Afghanistan,1,0,0,1,Shooting,33.93911,67.709953,Shooting,3,2534
177,2002,Somalia,0,0,1,1,Kidnapping,2.033333,45.35,Kidnapping,1,1112
178,2002,Somalia,1,0,0,1,Unknown,2.11667,45.4,Unknown,3,1112
180,2002,Somalia,2,0,0,2,Unknown,3.73500005,42.59630291,Unknown,6,1112
179,2002,Iraq,1,0,0,1,Shooting,33.3024248,44.3787992,Shooting,3,336
181,2002,South Sudan,1,0,3,4,Kidnap-killing,7.2653861,30.05489,Kidnapping,6,1233
182,2002,Chechnya,0,2,0,2,Roadside IED,64.6863136,97.7453061,Explosives,4,77
183,2002,Chechnya,0,0,1,1,Kidnapping,64.6863136,97.7453061,Kidnapping,1,77
184,2002,South Africa,1,0,0,1,Shooting,-28.8166236,24.991639,Shooting,3,10
185,2002,Chechnya,0,0,1,1,Kidnapping,43.0574916,47.1332224,Kidnapping,1,77
186,2002,Uganda,0,0,5,5,Kidnapping,1.5333554,32.2166578,Kidnapping,5,142
187,2002,Somalia,0,0,1,1,Kidnapping,2.03711,45.34375,Kidnapping,1,1112
188,2002,Angola,0,2,0,2,Bodily assault,-11.8775768,17.5691241,Bodily assault,4,143
189,2002,Uganda,1,0,0,1,Unknown,1.5333554,32.2166578,Unknown,3,142
190,2002,Colombia,4,0,0,4,Unknown,2.8930783,-73.7845072,Unknown,12,31
191,2002,Uganda,1,0,0,1,Unknown,1.5333554,32.2166578,Unknown,3,142
192,2002,Burundi,1,0,0,1,Unknown,-3.3634357,29.8870575,Unknown,3,99
193,2002,Occupied Palestinian Territories,0,1,0,1,Shooting,31.649741,35.162072,Shooting,2,161
196,2002,Jordan,1,0,0,1,Shooting,31.1667049,36.941628,Shooting,3,34
195,2002,Sudan,0,1,0,1,Kidnapping,14.5844444,29.4917691,Kidnapping,2,981
197,2002,Afghanistan,0,2,0,2,Bodily assault,33.93911,67.709953,Bodily assault,4,2534
200,2002,Afghanistan,1,0,0,1,Shooting,33.93911,67.709953,Shooting,3,2534
201,2002,Jordan,1,0,0,1,Shooting,31.1667049,36.941628,Shooting,3,34
203,2002,Somalia,0,1,0,1,Shooting,9.52749,45.537472,Shooting,2,1112
206,2002,Chechnya,0,0,1,1,Kidnapping,60.0,100.0,Kidnapping,1,77
199,2002,Chechnya,0,0,4,4,Kidnapping,43.3976147,45.6985005,Kidnapping,4,77
205,2002,DR Congo,0,0,1,1,Kidnapping,-2.9814344,23.8222636,Kidnapping,1,583
198,2002,Occupied Palestinian Territories,1,0,0,1,Shooting,32.0254688,35.2888075,Shooting,3,161
204,2002,Afghanistan,1,0,0,1,Unknown,36.83763,66.63932,Unknown,3,2534
202,2002,Angola,7,5,0,12,Landmine ,-15.8,20.25,Explosives,31,143
209,2002,Yemen,3,0,0,3,Unknown,16.3471243,47.8915271,Unknown,9,277
208,2002,Congo,0,0,2,2,Kidnapping,-4.1121517,13.51292867,Kidnapping,2,13
207,2002,Occupied Palestinian Territories,2,0,0,2,Unknown,31.4772871,34.3215106,Unknown,6,161
274,2003,Occupied Palestinian Territories,0,2,0,2,Shooting,31.4772871,34.3215106,Shooting,4,161
213,2003,DR Congo,0,5,0,5,Shooting,-3.2850762,28.18012996,Shooting,10,583
214,2003,Kashmir,1,0,0,1,Unknown,34.3752779,73.4730602,Unknown,3,3
217,2003,Chechnya,1,0,0,1,Kidnap-killing,64.6863136,97.7453061,Kidnapping,3,77
218,2003,Uganda,0,1,0,1,Shooting,1.5333554,32.2166578,Shooting,2,142
215,2003,Occupied Palestinian Territories,1,0,0,1,Unknown,31.41667,34.33333,Unknown,3,161
216,2003,Kenya,1,0,0,1,Unknown,1.4419683,38.4313975,Unknown,3,159
219,2003,Somalia,1,0,0,1,Unknown,-0.358216,42.545087,Unknown,3,1112
222,2003,Cote D'Ivoire,5,0,0,5,Unknown,7.9897371,-5.5679458,Unknown,15,26
223,2003,Liberia,3,0,0,3,Unknown,5.7499721,-9.3658524,Unknown,9,27
220,2003,Sudan,0,1,0,1,Bodily assault,11.329444,25.08565623,Bodily assault,2,981
224,2003,DR Congo,0,0,1,1,Kidnapping,1.66607,27.00836,Kidnapping,1,583
221,2003,Afghanistan,1,0,0,1,Shooting,31.6257334,65.7145053,Shooting,3,2534
226,2003,Iraq,1,2,0,3,Shooting,33.0955793,44.1749775,Shooting,7,336
227,2003,Liberia,0,0,2,2,Kidnapping,5.7499721,-9.3658524,Kidnapping,2,27
